TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Delibus nudus,Delibus,nudus,363905,0.47,New species - ‘Delibus f’ & ‘Delibus m’ size range based on the min & max size range of the female & male of D.nudus and D.Sewelli,Herbivore
Eucalanus spp.,Eucalanus,spp.,104171,3.2,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Euchaeta spp.,Euchaeta,spp.,104174,3.255,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Euterpina acutifrons,Euterpina,acutifrons,116162,0.5,Boltovskoy 1999,Omnivore
Aetideus spp.,Aetideus,spp.,104112,1.64,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Acartia spp.,Acartia,spp.,104108,1.11,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Clausocalanus jobei,Clausocalanus,jobei,104504,1.285,Frost & Fleminger 1968,Herbivore
Acartia (Acartiura) tranteri,Acartia (Acartiura),tranteri,346042,0.95,Bradford-Grieve 1976,Omnivore
Acrocalanus longicornis,Acrocalanus,longicornis,104646,1.1,Boltovskoy 1999,Herbivore
Amphipod j,,,1135,,,
Lucicutia flavicornis,Lucicutia,flavicornis,104597,1.65,Boltovskoy 1999,Omnivore
Mesocalanus tenuicornis,Mesocalanus,tenuicornis,104468,1.95,Boltovskoy 1999,Herbivore
Microsetella rosea,Microsetella,rosea,116116,0.625,Boltovskoy 1999,Omnivore
Oncaea venusta complex,Oncaea,venusta complex,128954,1.075,Bottger-Schnack & Huys 2004,Omnivore
Pleuromamma quadrungulata,Pleuromamma,quadrungulata,104641,4.14,Boltovskoy 1999,Omnivore
Pleuromamma spp.,Pleuromamma,spp.,104191,1.6,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Sapphirina spp.,Sapphirina,spp.,128722,1.42,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Subeucalanus spp.,Subeucalanus,spp.,104173,1.8,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Barnacle nauplii,,,1082,,,
Fish larvae,,,11676,,,
Fish j,,,11676,,,
Insect terrestrial,,,,,,
Noctiluca scintillans,Noctiluca,scintillans,109921,,,
Cavoliniidae shell,,,23000,,,
Siphonophore,,,1371,,,
Pteropod,,,325345,,,
Clausocalanus parapergens,Clausocalanus,parapergens,104507,1.175,Frost & Fleminger 1968,Herbivore
Corycaeus spp.,Corycaeus,spp.,128634,1.72,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Agetus spp.,Agetus,spp.,128633,1.545,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Sapphirina scarlata,Sapphirina,scarlata,129058,3.975,Boltovskoy 1999,Omnivore
Urocorycaeus lautus,Urocorycaeus,lautus,128822,0.935,Boltovskoy 1999,Carnivore
Microsetella norvegica,Microsetella,norvegica,116115,0.43,Boltovskoy 1999,Omnivore
Acartia (Acanthacartia) fossae,Acartia (Acanthacartia),fossae,345933,1.215,Razouls 2013,Omnivore
Onychocorycaeus spp.,Onychocorycaeus,spp.,128638,1.015,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Podon spp.,Podon,spp.,106269,,Unknown,
Ihlea magalhanica,Ihlea,magalhanica,266541,,,
Candacia bradyi,Candacia,bradyi,346234,1.49,Razouls 2012,Carnivore
Candacia ethiopica,Candacia,ethiopica,104478,2.2,Boltovskoy 1999,Carnivore
Canthocalanus pauper,Canthocalanus,pauper,220834,1.45,Boltovskoy 1999,Herbivore
Subeucalanus dentatus,Subeucalanus,dentatus,360662,2.4,Razouls 2013,Herbivore
Pseudodiaptomus baylyi,Pseudodiaptomus,baylyi,355135,1.175,Razouls 2013,Omnivore
Onychocorycaeus spp.,Onychocorycaeus,spp.,128638,1.795,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Lucifer typus,Lucifer,typus,107122,,,
Platyhelminthes j,,,793,,,
Flaccisagitta spp.,Flaccisagitta,spp.,105406,,,
Harpacticoid f,,,1102,0.625,,
Calanoides patagoniensis,Calanoides,patagoniensis,345759,2.415,Razouls 2012,Herbivore
Evadne spp.,Evadne,spp.,106267,,,
Onychocorycaeus agilis,Onychocorycaeus,agilis,359743,1.075,Razouls 2012,Carnivore
Corycaeus clausi,Corycaeus,clausi,128798,1.66,Razouls 2012,Carnivore
Labidocera tasmanica,Labidocera,tasmanica,346613,2.64,Nyan Taw 1974,Carnivore
Farranula gibbula,Farranula,gibbula,346477,0.965,Razouls 2012,Carnivore
Euchirella rostrata,Euchirella,rostrata,104303,2.8,Boltovskoy 1999,Herbivore
Agetus flaccus,Agetus,flaccus,128795,1.415,Razouls 2012,Carnivore
Centropages spp.,Centropages,spp.,104159,1.585,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Ditrichocorycaeus aucklandicus,Ditrichocorycaeus,aucklandicus,764978,1.135,Razouls 2012,Carnivore
Paracalanus parvus,Paracalanus,parvus,104685,1,Boltovskoy 1999,Herbivore
Macrosetella gracilis,Macrosetella,gracilis,116382,1.13,Boltovskoy 1999,Herbivore
Aidanosagitta regularis,Aidanosagitta,regularis,266712,,,
Coelenterata larvae,,,152230,,,
Acrocalanus spp.,Acrocalanus,spp.,104192,1.095,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Pleuromamma xiphias,Pleuromamma,xiphias,104643,4.5,Boltovskoy 1999,Omnivore
Subeucalanus spp.,Subeucalanus,spp.,104173,5.3,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Pareucalanus langae,Pareucalanus,langae,354594,6.83,Razouls 2012,Herbivore
Oncaea mediterranea slender,Oncaea,mediterranea slender,128939,1.4,Bottger-Schnack 1997,Omnivore
Subeucalanus subtenuis,Subeucalanus,subtenuis,104549,2.875,Boltovskoy 1999,Herbivore
Oncaea mediterranea broad,Oncaea,mediterranea broad,128939,1.4,Bottger-Schnack 1997,Omnivore
Cladoceran f,,,1076,,,
Oncaea venusta venella no hump,Oncaea,venusta venella no hump,363588,0.85,Bottger-Schnack & Huys 2004,Omnivore
Euchaeta marinella,Euchaeta,marinella,346441,2.425,"Bradford Haakonssen & Jillett 1983",Carnivore
Onychocorycaeus ovalis,Onychocorycaeus,ovalis,128819,1.285,Razouls 2012,Carnivore
Ditrichocorycaeus asiaticus,Ditrichocorycaeus,asiaticus,358328,1.11,Razouls 2012,Carnivore
Pleuromamma gracilis,Pleuromamma,gracilis,104639,1.875,Boltovskoy 1999,Omnivore
Pontellidae j,,,104097,1.44,,Carnivore
Metridia gerlachei,Metridia,gerlachei,344689,3.815,Boltovskoy 1999,Omnivore
Copepod j,,,1080,1,,
Calocalanus spp.,Calocalanus,spp.,104193,0.465,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Paralabidocera antarctica,Paralabidocera,antarctica,345234,1.8,,Carnivore
Vibilia armata,Vibilia,armata,236632,,,
Subeucalanus longiceps,Subeucalanus,longiceps,345366,4.55,Based on female of species Bradford-Grieve 1994,Herbivore
Pleuromamma spp.,Pleuromamma,spp.,104191,3.29,,Omnivore
Hyperiella spp.,Hyperiella,spp.,325378,,,
Euphausia superba,Euphausia,superba,236217,,,
Large copepodite CII,,,1080,2.2,,Herbivore
Hyperia spp.,Hyperia,spp.,101796,,,
Pterotracheid,,,225072,,,
Eudoxoides spiralis,Eudoxoides,spiralis,135424,,,
Parasagitta spp.,Parasagitta,spp.,105408,,,
Oncaea venusta typica,Oncaea,venusta typica,363803,0.765,Bottger-Schnack & Huys 2004,Omnivore
Paraeuchaeta antarctica,Paraeuchaeta,antarctica,344974,9.15,"Bradford Haakonssen & Jillett 1983",Carnivore
Ctenocalanus spp.,Ctenocalanus,spp.,104162,1.125,Boltovskoy 1999,Herbivore
Vanadis antarctica,Vanadis,antarctica,335010,,,
Hyperia spinigera,Hyperia,spinigera,103254,,,
Centropages gracilis,Centropages,gracilis,220903,2.32,Boltovskoy 1999,Omnivore
Pareucalanus sewelli,Pareucalanus,sewelli,360047,4.995,Bradford-Grieve 1994,Herbivore
Paraeuchaeta exigua,Paraeuchaeta,exigua,345051,6.85,Boltovskoy 1999,Carnivore
Paralabidocera antarctica,Paralabidocera,antarctica,345234,1.625,,Carnivore
Pterosagitta draco,Pterosagitta,draco,105430,,,
Calanopia australica,Calanopia,australica,346201,1.885,Razouls 2013,Carnivore
Paramisophria fosshageni,Paramisophria,fosshageni,354297,1.325,Razouls 2013,Omnivore
Acartia (Odontacartia) erythraea,Acartia (Odontacartia),erythraea,346054,1.25,Razouls 2013,Omnivore
Metridia spp.,Metridia,spp.,104190,3.32,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Sapphirina nigromaculata,Sapphirina,nigromaculata,129053,2.495,Boltovskoy 1999,Omnivore
Mesocalanus spp.,Mesocalanus,spp.,104153,1.7,Boltovskoy 1999,Herbivore
Pseudocyclops minya,Pseudocyclops,minya,355116,0.62,Razouls 2013,Omnivore
Scolecithricella orientalis,Scolecithricella,orientalis,104813,1.1,Razouls 2013,Herbivore
Oithona attenuata,Oithona,attenuata,220944,0.65,Boltovskoy 1999,Herbivore
Metacalanus aurivillii,Metacalanus,aurivillii,353392,0.5,Razouls 2013,Herbivore
Euchaeta concinna,Euchaeta,concinna,104551,2.1,Boltovskoy 1999,Carnivore
Pseudodiaptomus galleti,Pseudodiaptomus,galleti,355155,1.26,Razouls 2013,Omnivore
Paracalanus nanus,Paracalanus,nanus,104684,0.57,Boltovskoy 1999,Herbivore
Paracalanus spp.,Paracalanus,spp.,104196,1.05,,Herbivore
Flaccisagitta hexaptera,Flaccisagitta,hexaptera,105435,,,
Gonophores unid,,,1267,,,
Scolecitrichidae m,,,104103,2.1,,Herbivore
Candacia worthingtoni,Candacia,worthingtoni,346243,1.95,Razouls 2013,Carnivore
Codonellopsis orthoceras,Codonellopsis,orthoceras,417162,,,
Trichocerca spp.,Trichocerca,spp.,134959,,,
Oithona decipiens,Oithona,decipiens,106644,0.68,unknown,Herbivore
Acartia (Odontacartia) pacifica mertoni,Acartia (Odontacartia),pacifica mertoni,707481,0.98,Razouls 2013,Omnivore
Temoropia spp.,Temoropia,spp.,104242,0.7,Razouls 2013,Omnivore
Aegisthus mucronatus,Aegisthus,mucronatus,115509,1.94,Razouls 2013,Omnivore
Candacia bispinosa,Candacia,bispinosa,220915,2.05,Boltovskoy 1999,Carnivore
Haloptilus spiniceps,Haloptilus,spiniceps,104437,4.625,Boltovskoy 1999,Carnivore
Oncaea atlantica complex,Oncaea,atlantica complex,128926,0.24,,Omnivore
Oncaea cf. oceanica,Oncaea,cf. oceanica,128690,0.655,Razouls 2013,Omnivore
Oncaea englishi,Oncaea,englishi,128931,1.05,Boltovskoy 1999,Omnivore
Oncaea ornata complex,Oncaea,ornata complex,128944,0.805,Razouls 2013,Omnivore
Oncaea ornata,Oncaea,ornata,128944,0.885,Razouls 2013,Omnivore
Oncaeidae m,,,128586,0.5,,Omnivore
Paracalanus aculeatus minor,Paracalanus,aculeatus minor,362834,0.775,Razouls 2013,Herbivore
Pontoeciella abyssicola,Pontoeciella,abyssicola,136003,1.175,Razouls 2013,Omnivore
Spinocalanus spp.,Spinocalanus,spp.,104236,1.954,Razouls 2013,Herbivore
Spinoncaea cf. tenuis.,Spinoncaea,cf. tenuis.,348050,0.29,Razouls 2013,Omnivore
Oithona fallax,Oithona,fallax,106645,0.685,Boltovskoy 1999,Herbivore
Oithona nishidai,Oithona,nishidai,361662,0.605,Razouls 2013,Herbivore
Triconia rufa,Triconia,rufa,361549,0.62,Razouls 2013,Omnivore
Aetideus spp.,Aetideus,spp.,104112,1.48,Boltovskoy 1999,Omnivore
Oithona attenuata,Oithona,attenuata,220944,0.7,Boltovskoy 1999,Herbivore
Candacia tenuimana,Candacia,tenuimana,104485,2.125,Boltovskoy 1999,Carnivore
Euchaeta acuta,Euchaeta,acuta,104550,3.78,Boltovskoy 1999,Carnivore
Rostraria spp.,Rostraria,spp.,324638,,,
Mesosagitta minima,Mesosagitta,minima,105437,,,
Ctenocalanus spp.,Ctenocalanus,spp.,104162,0.8,Boltovskoy 1999,Herbivore
Pyrosoma atlanticum,Pyrosoma,atlanticum,137250,,,
Lucicutia gaussae,Lucicutia,gaussae,104599,1.35,Boltovskoy 1999,Omnivore
Thyropus sphaeroma,Thyropus,sphaeroma,421631,,,
Pleopis polyphemoides,Pleopis,polyphemoides,247981,,,
Quinquelaophonte wellsi,Quinquelaophonte,wellsi,356545,0.61,Bjornberg T. 2010.,Omnivore
Oikopleura (Coecaria) fusiformis cornutogastra,Oikopleura (Coecaria),fusiformis cornutogastra,342469,,,
Fritillaria megachile,Fritillaria,megachile,103384,,,
Dolioletta gegenbauri,Dolioletta,gegenbauri,214437,,,
Oikopleura (Vexillaria) rufescens,Oikopleura (Vexillaria),rufescens,103416,,,
Dorippe spp.,Dorippe,spp.,205712,,,
Labidocera moretoni,Labidocera,moretoni,220925,1.575,Razouls 2013,Carnivore
Labidocera moretoni,Labidocera,moretoni,220925,2.005,Razouls 2013,Carnivore
Pontellopsis tasmanensis,Pontellopsis,tasmanensis,354898,1.41,Razouls 2013,Carnivore
Copilia lata,Copilia,lata,129036,4.4,,Omnivore
Labidocera acutifrons,Labidocera,acutifrons,104727,3.92,,Carnivore
Pelagosphera larvae,,,1296,,,
Neocalanus tonsus,Neocalanus,tonsus,344701,2.3,,Herbivore
Sagitta decipiens,Sagitta,decipiens,370469,,,
Sagitta ferox,Sagitta,ferox,266247,,,
Nanomia spp.,Nanomia,spp.,135392,,,
Oediceroides apicalis,Oediceroides,apicalis,428739,,,
Oikopleura cophocerca,Oikopleura,cophocerca,103406,,,
Pseudocyclops spp.,Pseudocyclops,spp.,104212,0.667,,Omnivore
Eutima curva,Eutima,curva,221227,,,
Ampelisca acinaces,Ampelisca,acinaces,422964,,,
Doxomysis australiensis,Doxomysis,australiensis,161373,,,
Anisomysis laticauda,Anisomysis,laticauda,157800,,,
Aorchoides spp.,Aorchoides,spp.,491906,,,
Synopia ultramarina,Synopia,ultramarina,211240,,,
Cavolinia uncinata,Cavolinia,uncinata,139031,,,
Vargula spp.,Vargula,spp.,127527,,,
Eusiridae,,,101380,,,
Agalma elegans,Agalma,elegans,135484,,,
Paraeuchaeta russelli,Paraeuchaeta,russelli,359874,3.745,Razouls 2013,Carnivore
Oncaea media,Oncaea,media,128938,0.63,Bottger-Schnack 2001,Omnivore
Parapronoe crustulum,Parapronoe,crustulum,421616,,,
Oxycephalus latirostris,Oxycephalus,latirostris,547493,,,
Platyscelus ovoides,Platyscelus,ovoides,103275,,,
Phronima colletti,Phronima,colletti,236606,,,
Parapronoe parva,Parapronoe,parva,236630,,,
Brachyscelus crusculum,Brachyscelus,crusculum,103241,,,
Cosmocalanus darwinii,Cosmocalanus,darwinii,361259,1.8,,Herbivore
Oncaea spp.,Oncaea,spp.,128690,0.3,,Omnivore
Physalia physalis,Physalia,physalis,135479,,,
Pareucalanus spp.,Pareucalanus,spp.,237967,5.025,,Herbivore
Bestiolina similis,Bestiolina,similis,346152,0.765,,Herbivore
Polynoid polychaeta,,,883,,,
Hydromylidae,,,411917,,,
Diacavolinia longirostris,Diacavolinia,longirostris,137754,,,
Euconchoecia aculeata,Euconchoecia,aculeata,127784,,,
Clausidiid j,,,128567,0.5,,Carnivore
Tintinnopsis lobiancoi,Tintinnopsis,lobiancoi,163919,,,
Candacia pachydactyla,Candacia,pachydactyla,104483,2.6,,Carnivore
Caridea megalopa larvae,,,106674,,,
Centropages violaceus,Centropages,violaceus,104500,2,,Omnivore
Cymbaloporetta spp.,Cymbaloporetta,spp.,112138,,,
Diacria danae,Diacria,danae,420557,,,
Cavolinia inflexa ,Cavolinia,inflexa ,139029,,,
Lethrinidae larvae,,,151458,,,
Calanoides spp.,Calanoides,spp.,104151,,,
Acrocalanus gracilis,Acrocalanus,gracilis,220838,,,
Subeucalanus subcrassus,Subeucalanus,subcrassus,104548,,,
Engraulid fish larva,,,125465,,,
Xystonellopsis pulchra,Xystonellopsis,pulchra,732674,,,
Sphaeronectes spp.,Sphaeronectes,spp.,135381,,,
Paraclione spp.,Paraclione,spp.,137795,,,
Calocalanus longispinus,Calocalanus,longispinus,104661,,,
Leptocephalus spp.,Leptocephalus,spp.,843623,,,
Centropages brachiatus,Centropages,brachiatus,104490,,,
Acanthostomella spp.,Acanthostomella,spp.,183555,,,
Cavoliniidae larvae ,,,137793,,,
Scaphocalanus echinatus,Scaphocalanus,echinatus,104793,,,
Turborotalita quinqueloba,Turborotalita,quinqueloba,113462,,,
Typhloscolex muelleri,Typhloscolex,muelleri,131582,,,
Polychaete Owenia larvae ,,,129427,,,
Subeucalanus spp.,Subeucalanus,spp.,104173,,,
Goniopsyllus ,Goniopsyllus,,346507,,,
Foram A,,,,,,
Radiolarian B,,,,,,
Radiolarian F,,,,,,
Pinnotheridae zoea,,,106775,,,
Farranula carinata,Farranula,carinata,128811,0.85,Razouls 2012,Carnivore
Triconia spp.,Triconia,spp.,128691,0.985,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Centropages elongatus,Centropages,elongatus,220902,1.75,Razouls 2012,Omnivore
Salpidae agg,,,137217,,,
Sapphirina ovatolanceolata / gemma,Sapphirina,ovatolanceolata / gemma,129055,2.32,Razouls 2012,Omnivore
Calanopia minor,Calanopia,minor,220919,1.4,Boltovskoy 1999,Carnivore
Oithona atlantica,Oithona,atlantica,106642,1.285,Nishida 1985,Herbivore
Centropages furcatus,Centropages,furcatus,104495,1.735,Boltovskoy 1999,Omnivore
Copilia quadrata,Copilia,quadrata,129039,3.3,Boltovskoy 1999,Omnivore
Penaeidae larvae,,,106727,,,
Acartia (Acartia) danae,Acartia (Acartia),danae,346026,1.195,Boltovskoy 1999,Omnivore
Acartia (Odontacartia) pacifica,Acartia (Odontacartia),pacifica,346059,1.15,Razouls 2012,Omnivore
Acrocalanus gracilis,Acrocalanus,gracilis,220838,1.26,Boltovskoy 1999,Herbivore
Acrocalanus gracilis,Acrocalanus,gracilis,220838,0.94,Boltovskoy 1999,Herbivore
Bestiolina similis,Bestiolina,similis,346152,0.765,Bradford-Grieve 1993,Herbivore
Calanid CIV,,,104079,2.4,,Herbivore
Calanopia elliptica,Calanopia,elliptica,104724,1.65,Boltovskoy 1999,Carnivore
Calocalanus plumulosus,Calocalanus,plumulosus,211848,1.065,Boltovskoy 1999,Herbivore
Oithona grp 4,Oithona,grp 4,106485,0.45,Size compiled from species in group from Nishida 1985,Herbivore
Acrocalanus spp.,Acrocalanus,spp.,104192,1.11,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Anomuran zoea,,,106671,,,
Calocalanus spp.,Calocalanus,spp.,104193,0.465,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Candacia truncata,Candacia,truncata,220916,2.1,Boltovskoy 1999,Carnivore
Microsetella rosea,Microsetella,rosea,116116,0.515,Razouls 2012,Omnivore
Nannocalanus minor,Nannocalanus,minor,104469,1.5,Boltovskoy 1999,Herbivore
Oncaea clevei,Oncaea,clevei,354022,0.65,Bottger-Schnack 2001,Omnivore
Oncaea clevei complex,Oncaea,clevei complex,354022,0.53,Bottger-Schnack 2001,Omnivore
Oncaea spp.,Oncaea,spp.,128690,0.31,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Omnivore
Oncaea venusta complex,Oncaea,venusta complex,128954,0.765,Bottger-Schnack & Huys 2004,Omnivore
Pleuromamma borealis,Pleuromamma,borealis,104638,2.025,Boltovskoy 1999,Omnivore
Sapphirina opalina,Sapphirina,opalina,129054,3.15,Boltovskoy 1999,Omnivore
Sapphirina stellata,Sapphirina,stellata,129060,2.375,Boltovskoy 1999,Omnivore
Sapphirina gemma,Sapphirina,gemma,129046,3.15,Boltovskoy 1999,Omnivore
Subeucalanus subcrassus,Subeucalanus,subcrassus,104548,2.515,Bradford-Grieve 1994,Herbivore
Subeucalanus crassus,Subeucalanus,crassus,104544,3.25,Boltovskoy 1999,Herbivore
Undinula vulgaris,Undinula,vulgaris,104473,2.27,Boltovskoy 1999,Herbivore
Appendicularia,,,146421,,,
Barnacle cyprid,,,1082,,,
Fish egg,,,11676,,,
Medusa,,,135220,,,
Megalope,,,1066,,,
Podon spp.,Podon,spp.,106269,,,
Scolecithrix spp.,Scolecithrix,spp.,104230,2.1,,Herbivore
Nauplii pontellidae,,,104097,0.4,,Herbivore
Tortanus spp.,Tortanus,spp.,157683,1.5,,Carnivore
Acartia (Acanthacartia) sinjiensis,Acartia (Acanthacartia),sinjiensis,345940,0.915,Razouls 2012,Omnivore
Rhincalanus rostrifrons,Rhincalanus,rostrifrons,356829,3.4,Bradford-Grieve 1994,Herbivore
Sapphirina opalina,Sapphirina,opalina,129054,3.39,Boltovskoy 1999,Omnivore
Limacina spp.,Limacina,spp.,138122,,,
Calocalanus spp.,Calocalanus,spp.,104193,0.5,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Corycaeus speciosus,Corycaeus,speciosus,128800,1.99,Boltovskoy 1999,Carnivore
Metridia spp.,Metridia,spp.,104190,1.96,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Microsetella spp.,Microsetella,spp.,115341,0.59,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Microsetella spp.,Microsetella,spp.,115341,0.6,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Lubbockia spp.,Lubbockia,spp.,128672,1.525,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Cavoliniidae,,,23000,,,
Calocalanus plumulosus,Calocalanus,plumulosus,211848,0.865,Boltovskoy 1999,Herbivore
Centropages bradyi,Centropages,bradyi,104491,2.25,Boltovskoy 1999,Omnivore
Metacalanus aurivillii,Metacalanus,aurivillii,353392,0.59,Razouls 2013,Herbivore
Centropages spp.,Centropages,spp.,104159,1.625,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Undinula vulgaris,Undinula,vulgaris,104473,1.615,Bjornberg 1966,Herbivore
Farranula gracilis,Farranula,gracilis,128813,1,Boltovskoy 1999,Carnivore
Pleuromamma piseki,Pleuromamma,piseki,104640,1.745,Boltovskoy 1999,Omnivore
Hemicyclops spp.,Hemicyclops,spp.,394447,1.52,Moon S.Y. & I.H. Kim. (2010),Carnivore
Sapphirina spp.,Sapphirina,spp.,128722,4.51,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Temora turbinata,Temora,turbinata,104880,1.27,Boltovskoy 1999,Herbivore
Pterotracheoidea - atlantid,,,387338,,,
Pseudodiaptomus spp.,Pseudodiaptomus,spp.,157680,1.1,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Pseudodiaptomus aurivillii,Pseudodiaptomus,aurivillii,220947,1.25,Razouls 2012,Omnivore
Pleuromamma abdominalis,Pleuromamma,abdominalis,104637,3.125,Boltovskoy 1999,Omnivore
Flaccisagitta enflata,Flaccisagitta,enflata,105434,,,
Oithona simplex,Oithona,simplex,106657,0.375,Nishida 1985,Herbivore
Lensia subtilis,Lensia,subtilis,135439,,,
Copilia hendorffi,Copilia,hendorffi,346293,6.9,Boltovskoy 1999,Omnivore
Agetus spp.,Agetus,spp.,128633,1.38,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Tortanus (Tortanus) barbatus,Tortanus (Tortanus),barbatus,220937,0.9,Razouls 2012,Carnivore
Rhincalanus spp.,Rhincalanus,spp.,104172,4.1,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Heterorhabdus papilliger,Heterorhabdus,papilliger,104580,1.985,Boltovskoy 1999,Carnivore
Urochordate,,,1822,,,
Asteroidea larvae,,,123080,,,
Pontella spp.,Pontella,spp.,104209,1.44,,Carnivore
Tortanus (Tortanus) barbatus,Tortanus (Tortanus),barbatus,220937,1.05,Razouls 2012,Carnivore
Acartia spp.,Acartia,spp.,104108,1.01,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Microsetella spp.,Microsetella,spp.,115341,0.33,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Temora discaudata,Temora,discaudata,220898,1.11,Razouls 2012,Herbivore
Pleuromamma spp.,Pleuromamma,spp.,104191,3.34,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Copilia spp.,Copilia,spp.,128721,3.65,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Temora spp.,Temora,spp.,104241,1.55,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Monocorycaeus robustus,Monocorycaeus,robustus,128815,2.2,Razouls 2012,Carnivore
Neocalanus tonsus,Neocalanus,tonsus,344701,3.75,Boltovskoy 1999,Herbivore
Calanidae m,,,104079,2.7,,Herbivore
Paracalanus spp.,Paracalanus,spp.,104196,1.07,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Cladoceran f gravid,,,1076,,,
Centropages gracilis,Centropages,gracilis,220903,1.875,Boltovskoy 1999,Omnivore
Calocalanus contractus,Calocalanus,contractus,104651,0.49,Boltovskoy 1999,Herbivore
Pleuromamma robusta,Pleuromamma,robusta,104642,3.65,Boltovskoy 1999,Omnivore
Thalia spp.,Thalia,spp.,137236,,,
Calanus simillimus,Calanus,simillimus,342436,3.21,Boltovskoy 1999,Herbivore
Vibilia spp.,Vibilia,spp.,101812,,,
Euphausia hanseni,Euphausia,hanseni,110685,,,
Euphausia lucens,Euphausia,lucens,221055,,,
Branchiopoda,,,1069,,,
Spongiobranchaea australis,Spongiobranchaea,australis,533451,,,
Small copepodite CI-CIII,,,1080,0.6,,Herbivore
Radiozoa,,,196831,,,
Fish scales,,,11676,,,
