TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Oithona attenuata,Oithona,attenuata,220944,0.4,Boltovskoy 1999,Herbivore
Clausocalanus arcuicornis,Clausocalanus,arcuicornis,104502,1.295,Frost & Fleminger 1968,Herbivore
Calanoides acutus,Calanoides,acutus,342434,5.25,Boltovskoy 1999,Herbivore
Paraeuchaeta antarctica,Paraeuchaeta,antarctica,344974,6.915,"Bradford Haakonssen & Jillett 1983",Carnivore
Oithona australis,Oithona,australis,353988,0.605,Razouls 2013,Herbivore
Oithona similis,Oithona,similis,106656,0.685,Nishida 1985,Herbivore
Centropages orsinii,Centropages,orsinii,220901,1.425,Boltovskoy 1999,Omnivore
Labidocera laevidentata,Labidocera,laevidentata,220924,1.98,Razouls 2013,Carnivore
Copilia quadrata,Copilia,quadrata,129039,3.95,Boltovskoy 1999,Omnivore
Haloptilus oxycephalus,Haloptilus,oxycephalus,104434,3.555,Boltovskoy 1999,Carnivore
Metacalanus aurivillii,Metacalanus,aurivillii,353392,0.595,Razouls 2013,Herbivore
Parvocalanus crassirostris,Parvocalanus,crassirostris,360051,0.45,Boltovskoy 1999,Herbivore
Oithona simplex,Oithona,simplex,106657,0.375,Boltovskoy 1999,Herbivore
Anawekia spinosa,Anawekia,spinosa,346097,0.7,Razouls 2013,
Bradyidius styliformis,Bradyidius,styliformis,346181,1.445,Razouls 2013,Omnivore
Copilia mirabilis,Copilia,mirabilis,129038,2.2,Boltovskoy 1999,Omnivore
Labidocera acuta,Labidocera,acuta,104726,2.8,Boltovskoy 1999,Carnivore
Turbellaria,,,794,,,
Centropages gracilis,Centropages,gracilis,220903,1.8,Boltovskoy 1999,Omnivore
Rotalia spp.,Rotalia,spp.,112079,,,
Parvocalanus elegans,Parvocalanus,elegans,354636,0.515,Razouls 2013,Herbivore
Pontella spp.,Pontella,spp.,104209,1.69,,Carnivore
Scolecithricella spp.,Scolecithricella,spp.,104229,1,Razouls 2013,Herbivore
Scinidae,,,101424,,,
Limnomedusae,,,1370,,,
Sulculeolaria spp.,Sulculeolaria,spp.,135367,,,
Cephalopoda j,,,11707,,,
Paramacrochiron spp.,Paramacrochiron,spp.,347694,1.75,not on worms,
Calanopia spp.,Calanopia,spp.,104207,1.55,,Carnivore
Aetideidae m,,,104075,1.51,,Omnivore
Euchirella pulchra,Euchirella,pulchra,104302,3.72,Boltovskoy 1999,Herbivore
Haloptilus acutifrons,Haloptilus,acutifrons,104422,2.8,Boltovskoy 1999,Carnivore
Haloptilus longicornis,Haloptilus,longicornis,104431,2.22,Boltovskoy 1999,Carnivore
Oncaea notopus complex,Oncaea,notopus complex,128943,0.805,Razouls 2013,Omnivore
Acartia (Odontacartia) erythraea,Acartia (Odontacartia),erythraea,346054,1.2,Razouls 2013,Omnivore
Stephos maculosus,Stephos,maculosus,355902,0.6,Razouls 2013,Omnivore
Acartia (Acanthacartia) sinjiensis,Acartia (Acanthacartia),sinjiensis,345940,0.95,Razouls 2012,Omnivore
Triconia hawii,Triconia,hawii,361550,0.525,Razouls 2013,Omnivore
Triconia minuta,Triconia,minuta,128960,0.605,Razouls 2013,Omnivore
Triconia similis complex,Triconia,similis complex,128961,0.745,Razouls 2013,Omnivore
Triconia umerus complex,Triconia,umerus complex,361551,0.595,Razouls 2013,Omnivore
Vettoria spp.,Vettoria,spp.,128723,0.813,Razouls 2013,Omnivore
Portunidae larvae,,,106763,,,
Monstrilla spp.,Monstrilla,spp.,119780,2.212,Razouls 2013,
Corycaeidae m,,,128569,1.84,,Carnivore
Acartia (Odontacartia) bispinosa,Acartia (Odontacartia),bispinosa,346051,1.285,Razouls 2013,Omnivore
Chiridius gracilis,Chiridius,gracilis,104290,2.38,Boltovskoy 1999,Omnivore
Euchirella curticauda,Euchirella,curticauda,104299,3.845,Boltovskoy 1999,Herbivore
Rhincalanus cornutus,Rhincalanus,cornutus,104542,2.9,Razouls 2013,Herbivore
Parundinella dakini,Parundinella,dakini,360049,0.8,Razouls 2013,
Parundinella dakini,Parundinella,dakini,360049,1,Razouls 2013,
Cyttarocylis ampulla,Cyttarocylis,ampulla,723504,,,
Stephos maculosus,Stephos,maculosus,355902,0.54,Razouls 2013,Omnivore
Hyperiid j,,,101796,,,
Oncaea vodjanitskii complex,Oncaea,vodjanitskii complex,354038,0.24,Razouls 2013,Omnivore
Bosmina meridionalis,Bosmina,meridionalis,106265,,,
Mesochra spp.,Mesochra,spp.,115241,0.45,Hamond R 1971,
Centropages kroyeri,Centropages,kroyeri,104497,1.275,Boltovskoy 1999,Omnivore
Paraeuchaeta longicornis,Paraeuchaeta,longicornis,,,,Carnivore
Pontellina spp.,Pontellina,spp.,104210,1.6,,Carnivore
Ophiuroidea,,,1806,,,
Anthoathecata,,,13551,,,
Pluteus larva,,,1806,,,
Anisomysis australis,Anisomysis,australis,226274,,,
Oediceroides spp.,Oediceroides,spp.,101697,,,
Fritillaria fraudax,Fritillaria,fraudax,103380,,,
Hexarthra fennica,Hexarthra,fennica,134971,,,
Pseudodiaptomus inflexus,Pseudodiaptomus,inflexus,355164,1.225,,Omnivore
Leptomedusae,,,13552,,,
Synchaeta baltica,Synchaeta,baltica,135047,,,
Oikopleura parva,Oikopleura,parva,103415,,,
Echinospira larva,,,101,,,
Hemisiriella parva,Hemisiriella,parva,161454,,,
Fritillaria formica,Fritillaria,formica,103379,,,
Cypridinodes spp.,Cypridinodes,spp.,205311,,,
Brooksia rostrata,Brooksia,rostrata,137256,,,
Urothoe spp.,Urothoe,spp.,101789,,,
Polyonyx transversus,Polyonyx,transversus,410145,1,,
Creseis acicula,Creseis,acicula,605988,,,
Anisomysis mullini,Anisomysis,mullini,226728,,,
Krohnitta pacifica,Krohnitta,pacifica,105428,,,
Parasterope spp.,Parasterope,spp.,127515,,,
Tintinnidium spp.,Tintinnidium,spp.,247915,,,
Encentrum spp.,Encentrum,spp.,134949,,,
Pareucalanus attenuatus,Pareucalanus,attenuatus,237968,4.395,Razouls 2013,Herbivore
Amallothrix tenuiserrata,Amallothrix,tenuiserrata,356949,1.075,Boltovskoy 1999,Herbivore
Tintinnopsis spp.,Tintinnopsis,spp.,163780,,,
Copilia hendorffi,Copilia,hendorffi,346293,6.1,Razouls 2012,Omnivore
Desmopterus spp.,Desmopterus,spp.,137889,,,
Daphnia spp.,Daphnia,spp.,148370,,,
Paracalanus aculeatus,Paracalanus,aculeatus,104681,0.8,Boltovskoy 1999,Herbivore
Ceriodaphnia spp.,Ceriodaphnia,spp.,148376,,,
Lycaea vincentii,Lycaea,vincentii,421621,,,
Platyscelus serratulus,Platyscelus,serratulus,236623,,,
Haloptilus spp.,Haloptilus,spp.,104140,5.37,,Carnivore
Euchirella rostromagna,Euchirella,rostromagna,342468,4.6,,Herbivore
Ephyra larva,,,135220,,,
Anomura megalopa larvae,,,106671,,,
Urocorycaeus spp.,Urocorycaeus,spp.,128639,1.75,,Carnivore
Calanus australis,Calanus,australis,345760,2.4,,Herbivore
Amplectella tricollaria,Amplectella,tricollaria,427576,,,
Tintinnopsis mortensenii,Tintinnopsis,mortensenii,417152,,,
Gammaropsis spp.,Gammaropsis,spp.,101558,,,
Fluviolanatus subtortus,Fluviolanatus,subtortus,504754,,,
Kelleria australiensis,Kelleria,australiensis,352459,1.23,,Carnivore
Tornaria larva,,,391906,,,
Oculosetella gracilis,Oculosetella,gracilis,116384,1.08,,Omnivore
Matacirolana spp.,Matacirolana,spp.,118403,,,
Krohnitta spp.,Krohnitta,spp.,105402,,,
Sulcanus conflictus,Sulcanus,conflictus,355934,1.6,,Carnivore
Schizopera spp.,Schizopera,spp.,115325,0.37,Karanovic T. and J. McRae. 2013,Omnivore
Phalacrophorus spp.,Phalacrophorus,spp.,206129,,,
Dendrobranchiata larvae,,,106669,,,
Astacidea zoea,,,106672,,,
Diphyes bojani,Diphyes,bojani,135419,,,
Gazelletta  hexanema,Gazelletta ,hexanema,877647,,,
Pontella fera,Pontella,fera,360157,2.715,,
Schmidingerella serrata,Schmidingerella,serrata,732868,,,
Radiolarian O,,,,,,
Spongodiscidae (Quadrate),,,345858,,,
Monstrillidae m,,,119777,,,
Brown spiny egg,,,,,,
Calanoides carinatus,Calanoides,carinatus,104462,,,
Calanoides natalis,Calanoides,natalis,349523,,,
Pontella aculeata,Pontella,aculeata,1262429,4.95,,
Pisces egg,,,11676,,,
Sergestidae,,,106731,,,
Cyllopus magellanicus,Cyllopus,magellanicus,325407,,,
Decapod j,,,1130,,,
Decapod megalopa,,,1130,,,
Euterpina spp.,Euterpina,spp.,115348,,,
Globigerina bulloides,Globigerina,bulloides,113434,,,
Euchaeta rimana,Euchaeta,rimana,346444,,,
Penaeid eggs,,,,,,
Labidocera  detruncata,Labidocera ,detruncata,104730,,,
Scolecitrichidae f,,,104103,,,
Foram E,,,,,,
Foram F,,,,,,
Primno latreillei,Primno,latreillei,421606,,,
Ctenocalanus spp.,Ctenocalanus,spp.,104162,,,
Helicostomella spp.,Helicostomella,spp.,172434,,,
Scombridae larvae,,,125559,,,
