NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE,BIOMASS_MGM3
DAR20150804_01:30,660,Darwin,-12.4,130.76805,2015-08-04 11:00:00,56.86027
NSI20150323,564,North Stradbroke,-27.345,153.562,2015-03-23 11:40:00,16.22205
MAI20150526,627,Maria Island,-42.59667,148.23333,2015-05-26 10:35:00,0.70726
NSI20150817,637,North Stradbroke,-27.345,153.562,2015-08-17 10:30:00,15.57908
PHB20150518,641,Port Hacking,-34.11923,151.22667,2015-05-19 09:43:00,4.80939
PHB20160719,729,Port Hacking,-34.11923,151.22667,2016-07-19 10:19:00,6.17087
ROT20160413,699,Rottnest Island,-32,115.41667,2016-04-13 09:30:00,28.77776
ROT20150924,669,Rottnest Island,-32,115.41667,2015-09-24 10:08:00,5.2416
YON20160823,718,Yongala,-19.30847,147.61842,2016-08-23 10:19:00,13.34279
PHB20170716,774,Port Hacking,-34.11923,151.22667,2017-07-17 09:42:00,5.80663
ROT20170802,779,Rottnest Island,-32,115.41667,2017-08-02 09:33:00,22.00375
PHB20170614,773,Port Hacking,-34.11923,151.22667,2017-06-15 08:52:00,6.09307
YON20170120,745,Yongala,-19.30847,147.61842,2017-01-20 10:00:00,21.88436
YON20171025,812,Yongala,-19.30847,147.61842,2017-10-26 09:56:00,17.73599
DAR20180209_0330,830,Darwin,-12.4,130.76805,2018-02-09 13:00:00,30.66773
MAI20171217,834,Maria Island,-42.59667,148.23333,2017-12-18 09:40:00,13.98024
PHB20171024,797,Port Hacking,-34.11923,151.22667,2017-10-25 09:01:00,8.19718
NSI20180302,815,North Stradbroke,-27.345,153.562,2018-03-02 10:25:00,10.2939
MAI20180301,817,Maria Island,-42.59667,148.23333,2018-03-02 09:30:00,28.73376
PHB20180123,826,Port Hacking,-34.11923,151.22667,2018-01-24 09:41:00,16.66313
PHB20180326,829,Port Hacking,-34.11923,151.22667,2018-03-27 09:40:00,9.32173
KAI20171129,809,Kangaroo Island,-35.83217,136.44733,2017-11-29 14:50:00,7.44041
ROT20170914,798,Rottnest Island,-32,115.41667,2017-09-14 09:45:00,4.74652
NSI20180530,843,North Stradbroke,-27.345,153.562,2018-05-30 10:20:00,9.65736
ROT20180620,846,Rottnest Island,-32,115.41667,2018-06-20 09:56:00,15.90557
YON20180602,850,Yongala,-19.30847,147.61842,2018-06-03 09:10:00,18.16252
MAI20181018,860,Maria Island,-42.59667,148.23333,2018-10-19 08:45:00,3.50331
DAR20190529,896,Darwin,-12.4,130.76805,2019-05-30 08:39:00,93.93976
PHB20190522,908,Port Hacking,-34.11923,151.22667,2019-05-23 08:50:00,8.25498
YON20190528,913,Yongala,-19.30847,147.61842,2019-05-28 10:25:00,23.97623
YON20190703,986,Yongala,-19.30847,147.61842,2019-07-03 10:50:00,50.39253
YON20200422,1083,Yongala,-19.30847,147.61842,2020-04-22 11:24:00,55.15295
YON20200710,1085,Yongala,-19.30847,147.61842,2020-07-11 09:25:00,7.91591
PHB20200630,1069,Port Hacking,-34.11923,151.22667,2020-07-01 09:18:00,3.18948
DAR20200922_0030,1090,Darwin,-12.4,130.76805,2020-09-22 10:00:00,60.57207
DAR20200922_0330,1091,Darwin,-12.4,130.76805,2020-09-22 13:00:00,591.36077
DAR20200922_0630,1092,Darwin,-12.4,130.76805,2020-09-22 16:00:00,116.2034
NSI20191220,1002,North Stradbroke,-27.345,153.562,2019-12-20 10:20:00,9.78595
MAI20191121,1000,Maria Island,-42.59667,148.23333,2019-11-22 09:23:00,10.08557
DAR20200204_0030,1007,Darwin,-12.4,130.76805,2020-02-04 10:00:00,74.89921
PHB20200224,1014,Port Hacking,-34.11923,151.22667,2020-02-25 08:52:00,2.93868
ROT20191126,996,Rottnest Island,-32,115.41667,2019-11-26 09:30:00,6.68364
YON20201026,1148,Yongala,-19.30847,147.61842,2020-10-26 10:40:00,13.29655
NSI20201116,1150,North Stradbroke,-27.345,153.562,2020-11-16 10:10:00,(null)
PHB20090422,11,Port Hacking,-34.11923,151.22667,2009-04-23 09:38:00,39.05509
NSI20090114,288,North Stradbroke,-27.345,153.562,2009-01-14 10:30:00,18.88393
