NRSCODE,SOI
"MAI20111005",7.3
"MAI20110812",2.1
"MAI20110725",10.7
"MAI20110531",2.1
"MAI20110407",25.1
"MAI20110328",21.4
"MAI20110223",22.3
"MAI20110118",19.9
"MAI20101214",27.1
"MAI20101027",18.3
"MAI20101001",18.3
"MAI20100722",20.5
"MAI20100615",1.8
"MAI20100527",10
"MAI20100505",10
"MAI20100330",-10.6
"MAI20100120",-10.1
"MAI20091207",-7
"MAI20091111",-6
"MAI20091013",-14.7
"MAI20090907",3.9
"MAI20090820",-5
"MAI20090716",1.6
"MAI20090601",-2.3
"MAI20090506",-7.4
"MAI20090421",8.6
"LW20190515",-9
"LW20190515",-8.76
"LW20190410",-1.3
"LW20190322",-6.8
"LW20190207",-13.5
"LS20200319",-5.37
"LS20200303",-5.37
"LS20191217",-5.46
"LS20191129",-9.93
"LN20200319",-5.37
"LN20200304",-5.37
"LN20191218",-5.46
"LN20191129",-9.93
"LE20190515",-9
"LE20190515",-8.76
"LE20190411",-1.3
"LE20190322",-6.8
"LE20190207",-13.5
"KAI20210202",11.61
"KAI20201123",9.14
"KAI20200527",2.56
"KAI20200204",-1.99
"KAI20191127",-9.93
"KAI20190909",-12.46
"KAI20190514",-9
"KAI20190514",-8.76
"KAI20190320",-6.8
"KAI20181204",9.3
"KAI20180820",-6.9
"KAI20180515",2.1
"KAI20180307",10.5
"KAI20171129",11.8
"KAI20170908",6.9
"KAI20170518",0.5
"KAI20170315",5.1
"KAI20161118",-0.7
"KAI20160915",13.5
"KAI20160525",2.8
"KAI20160223",-19.7
"KAI20151116",-5.3
"KAI20150909",-17.8
"KAI20150629",-12
"KAI20150408",-3.8
"KAI20150224",0.6
"KAI20141201",-5.5
"KAI20141029",-8
"KAI20140713",-3
"KAI20140507",4.4
"KAI20140313",-13.3
"KAI20140122",12.2
"KAI20130827",-0.5
"KAI20130506",8.4
"KAI20130423",0.3
"KAI20130220",-3.6
"KAI20120415",-7.1
"KAI20120215",2.5
"KAI20120116",9.4
"KAI20111219",23
"KAI20111115",13.8
"KAI20111026",7.3
"KAI20110718",10.7
"KAI20110427",25.1
"KAI20110319",21.4
"KAI20110223",22.3
"KAI20110123",19.9
"KAI20101213",27.1
"KAI20101120",16.4
"KAI20100721",20.5
"KAI20100419",15.2
"KAI20100315",-10.6
"KAI20100215",-14.5
"KAI20100112",-10.1
"KAI20091215",-7
"KAI20091115",-6
"KAI20091007",-14.7
"KAI20090601",-2.3
"KAI20090205",14.8
"KAI20090114",9.4
"KAI20081211",13.3
"KAI20081110",17.1
"KAI20081019",13.4
"IIOE20190610",-10.33
"IIOE20190608",-10.33
"IIOE20190607",-10.33
"IIOE20190606",-10.33
"IIOE20190605",-10.33
"IIOE20190604",-10.33
"IIOE20190603",-10.33
"IIOE20190602",-10.33
"IIOE20190601",-10.33
"IIOE20190531",-9
"IIOE20190531",-8.76
"IIOE20190530",-9
"IIOE20190530",-8.76
"IIOE20190529",-9
"IIOE20190529",-8.76
"IIOE20190528",-9
"IIOE20190528",-8.76
"IIOE20190527",-9
"IIOE20190527",-8.76
"IIOE20190526",-9
"IIOE20190526",-8.76
"IIOE20190525",-9
"IIOE20190525",-8.76
"IIOE20190524",-9
"IIOE20190524",-8.76
"IIOE20190523",-9
"IIOE20190523",-8.76
"IIOE20190522",-9
"IIOE20190522",-8.76
"IIOE20190521",-9
"IIOE20190521",-8.76
"IIOE20190520",-9
"IIOE20190520",-8.76
"IIOE20190519",-9
"IIOE20190519",-8.76
"IIOE20190518",-9
"IIOE20190518",-8.76
"IIOE20190517",-9
"IIOE20190517",-8.76
"ESP20130725",8.1
"ESP20130314",10.5
"ESP20121212",-6
"ESP20120910",2.6
"ESP20120612",-10.4
"ESP20120309",2.9
"ESP20120229",2.5
"ESP20111130",13.8
"ESP20110818",2.1
"ESP20110512",2.1
"ESP20110120",19.9
"ESP20101013",18.3
"ESP20100629",1.8
"ESP20100322",-10.6
"ESP20091216",-7
"ESP20090917",3.9
"ESP20090623",-2.3
"ESP20090512",-7.4
"DAR20201123",9.14
"DAR20200922_0630",9.96
"DAR20200922_0330",9.96
"DAR20200922_0030",9.96
"DAR20200921_2130",9.96
"DAR20200810",9.39
"DAR20200511",2.56
"DAR20200204_0630",-1.99
"DAR20200204_0330",-1.99
"DAR20200204_0030",-1.99
"DAR20200203_2130",-1.99
"DAR20191105",-9.93
"DAR20190723_0630",-6.15
"DAR20190723_0330",-6.15
"DAR20190723_0030",-6.15
"DAR20190722_2130",-6.15
"DAR20190529",-9
"DAR20190529",-8.76
"DAR20190214_0630",-13.5
"DAR20190214_0330",-13.5
"DAR20190214_0030",-13.5
"DAR20190213_2130",-13.5
"DAR20181030",3
"DAR20180731_0630",1.6
"DAR20180731_0330",1.6
"DAR20180731_0030",1.6
"DAR20180730_2130",1.6
"DAR20180509",2.1
"DAR20180209_0630",-6
"DAR20180209_0330",-6
"DAR20180209_0030",-6
"DAR20180208_2130",-6
"DAR20171009",9.1
"DAR20170715_0630",8.1
"DAR20170715_0330",8.1
"DAR20170715_0030",8.1
"DAR20170714_2130",8.1
"DAR20170516",0.5
"DAR20170203_0630",-2.2
"DAR20170203_0330",-2.2
"DAR20170203_0030",-2.2
"DAR20170202_2130",-2.2
"DAR20161107",-0.7
"DAR20160724_0730",4.2
"DAR20160724_0430",4.2
"DAR20160724_0130",4.2
"DAR20160723",4.2
"DAR20160530",2.8
"DAR20160202_0630",-19.7
"DAR20160202_0330",-19.7
"DAR20160202_0030",-19.7
