PROJECTNAME,TRIP_CODE,STATION,STATIONCODE,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SECCHI_M,SAMPLETYPE
NWS,NWS_12.2,North West Shelf,NWS,120.6191,-18.1717,2015-01-23 07:01:01,,,P
NWS,NWS_16.1,North West Shelf,NWS,120.6191,-18.1717,2015-01-24 04:04:00,,,P
NWS,NWS_17.2,North West Shelf,NWS,120.6191,-18.1717,2015-01-24 10:02:00,,,P
NWS,NWS_19.2,North West Shelf,NWS,120.6191,-18.1717,2015-01-24 22:04:02,,,P
IIOE,IIOE20190601,International Indian Ocean Expedition,IIOE,110,-17,2019-06-01 16:26:00,,,PZ
IIOE,IIOE20190526,International Indian Ocean Expedition,IIOE,110,-26.003,2019-05-26 16:25:00,,,PZ
IIOE,IIOE20190607,International Indian Ocean Expedition,IIOE,111.184,-15.284,2019-06-07 18:14:00,,,PZ
NRS Ichthyoplankton,NSF20160623,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2016-06-23 10:30:00,,,F
NRS Ichthyoplankton,NSF20160720,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2016-07-20 10:30:00,,,F
NRS Ichthyoplankton,NSF20190723,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2019-07-23 10:20:00,,,F
NRS Ichthyoplankton,NSF20190916,North Stradbroke Ichthyo 30m,NSF,153.5802,-27.3889,2019-09-16 10:20:00,,,F
NRS Ichthyoplankton,PHA20140911,Port Hacking A,PHA,151.21667,-34.08333,2014-09-11 10:13:00,,,F
NRS Ichthyoplankton,PHA20160407,Port Hacking A,PHA,151.21667,-34.08333,2016-04-08 09:13:00,,,F
NRS Ichthyoplankton,PHA20161030,Port Hacking A,PHA,151.21667,-34.08333,2016-10-31 09:35:00,,,F
NRS Ichthyoplankton,PHA20170821,Port Hacking A,PHA,151.21667,-34.08333,2017-08-22 09:50:00,,,F
NRS Ichthyoplankton,PHA20190227,Port Hacking A,PHA,151.21667,-34.08333,2019-02-28 10:35:00,,,F
NRS Ichthyoplankton,ROF20190711,Rottnest Island Ichthyo 34m,ROF,115.48333,-31.96666,2019-07-11 09:26:00,,,F
NRS,DAR20180730_2130,Darwin,DAR,130.76805,-12.4,2018-07-31 07:03:00,97.76151,1.3,PZ
NRS,DAR20121208_2000,Darwin,DAR,130.76805,-12.4,2012-12-09 05:30:00,53.57521,,PZ
NRS,DAR20200810,Darwin,DAR,130.76805,-12.4,2020-08-11 08:25:00,28.66627,3.5,PZ
NRS,DAR20190723_0630,Darwin,DAR,130.76805,-12.4,2019-07-23 16:00:00,33.24138,3,PZ
NRS,DAR20120114_2335,Darwin,DAR,130.76805,-12.4,2012-01-15 09:05:00,26.32359,2,PZ
NRS,DAR20210428_0030,Darwin,DAR,130.76805,-12.4,2021-04-28 10:00:00,,1,PZ
NRS,DAR20141130,Darwin,DAR,130.76805,-12.4,2014-12-01 07:18:00,28.52629,2.5,Z
NRS,DAR20150804_0430,Darwin,DAR,130.76805,-12.4,2015-08-04 14:00:00,20.51064,1.5,Z
NRS,ESP20110512,Esperance,ESP,121.85,-33.93333,2011-05-12 10:10:00,14.11383,12,PZ
NRS,ESP20100629,Esperance,ESP,121.85,-33.93333,2010-06-29 10:05:00,7.15122,10.7,PZ
NRS,ESP20091216,Esperance,ESP,121.85,-33.93333,2009-12-16 09:45:00,7.3241,13.2,PZ
NRS,KAI20120215,Kangaroo Island,KAI,136.44733,-35.83217,2012-02-15 11:50:00,1.61256,15.5,PZ
NRS,KAI20161118,Kangaroo Island,KAI,136.44733,-35.83217,2016-11-18 12:45:00,11.22427,0,FPZ
NRS,KAI20181204,Kangaroo Island,KAI,136.44733,-35.83217,2018-12-04 15:39:00,10.77869,,FPZ
NRS,KAI20191127,Kangaroo Island,KAI,136.44733,-35.83217,2019-11-27 14:25:00,9.37477,,FPZ
NRS,KAI20111219,Kangaroo Island,KAI,136.44733,-35.83217,2011-12-20 09:30:00,0.3996,,PZ
NRS,KAI20120116,Kangaroo Island,KAI,136.44733,-35.83217,2012-01-17 07:00:00,3.46735,,PZ
NRS,KAI20170518,Kangaroo Island,KAI,136.44733,-35.83217,2017-05-18 11:15:00,5.59445,,FPZ
NRS,KAI20180515,Kangaroo Island,KAI,136.44733,-35.83217,2018-05-16 08:15:00,4.44161,,FPZ
NRS,KAI20151116,Kangaroo Island,KAI,136.44733,-35.83217,2015-11-17 09:50:00,6.52097,,FPZ
NRS,KAI20190514,Kangaroo Island,KAI,136.44733,-35.83217,2019-05-14 15:35:00,6.5245,,FPZ
NRS,MAI20100722,Maria Island,MAI,148.23333,-42.59667,2010-07-22 11:10:00,0.49066,22,PZ
