SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_L,BIOVOLUME_UM3L
32,Cyanobacteria cluster,Cyanobacteria,(null),(null),146537,193,808435.83
32,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,193,38600
32,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,109462,39,285884.69
32,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,116,936115.28
32,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,39817,23454129.19
32,Flagellate <10 µm round,Flagellate,(null),(null),146222,91699,6001680.45
32,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,77,613222.66
32,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,58,6013003.26
32,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,232069,1207,25595319.13
32,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,155,319687.5
32,Prasinophytes,Flagellate,(null),(null),17329,21718,5685754.3
32,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,20,40945.39
32,Prymnesiophytes,Flagellate,(null),(null),115057,6033,3158868.75
32,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,290,58000
32,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,19,2101095.39
32,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,39,1764316.94
32,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,116,47618.13
32,Thalassionema spp.,Pennate diatom,Thalassionema,spp.,149092,174,93960
32,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,77,38500
32,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,97,304734.23
32,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,6033,1819508.4
32,Unid dinoflagellate > 10 µm,Dinoflagellate,(null),(null),146203,154,967609.72
33,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,8127,50042135.78
33,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,169,7021532.19
33,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,296,1743582.45
33,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,762,287266.99
33,Chrysophyceae,Flagellate,(null),(null),146230,42,32986.7
33,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,85,28793065.05
33,Coscinodiscus wailesii,Centric diatom,Coscinodiscus,wailesii,156632,17,46143673.92
33,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,7407,5817439.28
33,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,169,33800
33,Dinophysis caudata,Dinoflagellate,Dinophysis,caudata,109612,85,3454767.25
33,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,149130,127,224427.34
33,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,46561,27426669.75
33,Flagellate <10 µm round,Flagellate,(null),(null),146222,91005,5956258.29
33,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,296,58119415
33,Guinardia striata,Centric diatom,Guinardia,striata,149113,127,10772512.11
33,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,127,1832823.24
33,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,212,902245.01
33,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,847,7982780.19
33,Meuniera membranacea,Pennate diatom,Meuniera,meuniera,149145,85,2002763.63
33,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,85,175312.5
33,Paralia sulcata,Centric diatom,Paralia,sulcata,149055,635,73312929.64
33,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,8466,957481.23
33,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,169,1014000
33,Prasinophytes,Flagellate,(null),(null),17329,9524,2493375.26
33,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,85,174017.91
33,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,169,6462641.23
33,Prymnesiophytes,Flagellate,(null),(null),115057,19048,9973501.05
33,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,466,93200
33,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,169,50700
33,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,42,4644526.66
33,Tripos spp.,Dinoflagellate,Tripos,spp.,494057,339,20340000
33,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,2116,638170.03
34,Asterionellopsis glacialis,Pennate diatom,Asterionellopsis,glacialis,149139,241,1547843.72
34,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,161,6689151.97
34,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,161,948367.48
34,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,80,30159.26
34,Chrysophyceae,Flagellate,(null),(null),146230,4020,3157297.95
34,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,21441,16839707.8
34,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,201,40200
34,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,121,13827598.57
34,Detonula pumila,Centric diatom,Detonula,pumila,149647,161,7681776.6
34,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,93802,55253892.22
34,Flagellate <10 µm round,Flagellate,(null),(null),146222,192965,12629519.05
34,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,844,6721557.47
34,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,563,58367600.61
34,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,80,1154534.33
34,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,149135,563,19898045.66
34,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,1608,6843443.31
34,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,161,1517387.97
34,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,24121,8525057.89
34,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,109921,137,8966621458.33
34,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,40,141371.55
34,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,40,240000
34,Prasinophytes,Flagellate,(null),(null),17329,2680,701621.77
34,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,121,14532207.85
34,Prymnesiophytes,Flagellate,(null),(null),115057,28141,14734580.7
34,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,4342,868400
34,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,4020,1206000
34,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,40,1809555.84
34,Stephanopyxis spp.,Centric diatom,Stephanopyxis,spp.,149630,241,185747555.95
34,Thalassiosira gravida,Centric diatom,Thalassiosira,gravida,149102,80,1005308.8
34,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,80,251327.2
34,Tripos spp.,Dinoflagellate,Tripos,spp.,494057,40,2400000
34,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,20101,6062313.66
35,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,275,11425570.13
35,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,343,2020435.07
35,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,223,84068.95
35,Chrysophyceae,Flagellate,(null),(null),146230,69,54192.43
35,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,4575,3593193.56
35,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,206,41200
35,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,154,17598761.82
35,Ditylum brightwellii < 40 µm width,Centric diatom,Ditylum,brightwellii,149023,86,2150000
35,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,149130,34,60082.91
